event_starttime,event_peaktime,event_endtime,fl_goescls,ar_noaanum
1997-01-05 13:31:00,1997-01-05 14:45:00,1997-01-05 16:10:00,A6,0
1997-01-06 08:35:00,1997-01-06 08:40:00,1997-01-06 08:43:00,A7,0
1997-01-07 08:35:00,1997-01-07 08:40:00,1997-01-07 08:43:00,A7,8009
1997-01-07 08:35:00,1997-01-07 08:40:00,1997-01-07 08:43:00,A7.0,8009
1997-01-16 16:02:00,1997-01-16 16:05:00,1997-01-16 16:11:00,B1.1,0
1997-01-16 22:13:00,1997-01-16 22:13:00,1997-01-16 22:13:00,A5.0,0
1997-01-19 09:54:00,1997-01-19 09:57:00,1997-01-19 10:12:00,A8.1,0
1997-01-20 08:27:00,1997-01-20 08:33:00,1997-01-20 08:49:00,B4.5,0
1997-01-27 14:21:00,1997-01-27 14:25:00,1997-01-27 14:30:00,B1.3,0
1997-01-29 15:15:00,1997-01-29 15:19:00,1997-01-29 15:24:00,B1.0,0
1997-01-29 18:41:00,1997-01-29 18:47:00,1997-01-29 18:53:00,B1.2,0
1997-01-29 19:13:00,1997-01-29 19:17:00,1997-01-29 19:20:00,B5.8,8015
1997-02-02 04:27:00,1997-02-02 04:39:00,1997-02-02 04:50:00,B3.5,0
1997-02-02 06:25:00,1997-02-02 06:34:00,1997-02-02 06:40:00,C2.6,0
1997-02-02 08:32:00,1997-02-02 08:42:00,1997-02-02 08:55:00,B3.8,0
1997-02-02 09:40:00,1997-02-02 09:45:00,1997-02-02 09:55:00,B3.7,0
1997-02-02 10:53:00,1997-02-02 10:57:00,1997-02-02 10:59:00,B5.2,0
1997-02-02 11:24:00,1997-02-02 11:46:00,1997-02-02 11:48:00,B9.0,0
1997-02-02 11:34:00,1997-02-02 11:37:00,1997-02-02 11:40:00,B1.4,0
1997-02-02 12:42:00,1997-02-02 12:46:00,1997-02-02 12:51:00,B1.1,0
1997-02-02 13:40:00,1997-02-02 13:50:00,1997-02-02 13:57:00,B6.4,0
1997-02-02 14:57:00,1997-02-02 15:00:00,1997-02-02 15:06:00,B1.5,0
1997-02-02 15:15:00,1997-02-02 15:19:00,1997-02-02 15:21:00,B1.9,0
1997-02-02 15:37:00,1997-02-02 15:40:00,1997-02-02 15:43:00,B1.4,0
1997-02-02 17:20:00,1997-02-02 17:26:00,1997-02-02 17:36:00,B1.5,0
1997-02-02 19:23:00,1997-02-02 19:35:00,1997-02-02 19:54:00,B6.2,0
1997-02-02 20:42:00,1997-02-02 20:45:00,1997-02-02 20:47:00,B1.5,0
1997-02-02 21:16:00,1997-02-02 21:24:00,1997-02-02 21:30:00,B9.0,0
1997-02-03 00:03:00,1997-02-03 00:07:00,1997-02-03 00:15:00,B1.5,0
1997-02-03 02:00:00,1997-02-03 02:03:00,1997-02-03 02:07:00,B1.2,0
1997-02-03 04:46:00,1997-02-03 04:50:00,1997-02-03 04:53:00,B7.2,0
1997-02-03 06:10:00,1997-02-03 06:20:00,1997-02-03 06:30:00,B3.5,0
1997-02-03 09:12:00,1997-02-03 09:17:00,1997-02-03 09:25:00,B1.3,0
1997-02-03 10:14:00,1997-02-03 10:19:00,1997-02-03 10:23:00,B4.2,0
